Symbol|Security Name|Market Category|Status|Test Issue
ABBB|Auburn Bancorp, Inc. Common Stock|NBB||
ABQQ|AB INTL GROUP CORP Common|BB|ELIGIBLE|
ABRW|American Brewing Co., Inc. Common|BB|ACTIVE|
ABSR|American Business Services Inc. Com|BB|ACTIVE|
ABVN|ABV CONSULTING INC Common|BB|ACTIVE|
ACBC|Albina Community Bancorp (OR) Common Stock|NBB||
ACLZ|Accelerize Inc. Common Stock|BB|ACTIVE|
ACSX|A.C. Simmonds and Sons Inc. Common Stock|NBB||
ACTL|Artec Global Media, Inc. Common Stock|BB|ACTIVE|
ACXA|Accurexa Inc. Common Stock|BB|ACTIVE|
ADGL|AllDigital Holdings, Inc. Common Stock|NBB||
ADHH|ADAIAH DISTR INC Common|BB|ACTIVE|
ADMV|ADAMAS VENTURES INC Common Stock|BB|ACTIVE|
AERGP|Applied Energetics, Inc. Series A Convertible Preferred Stock|BB|ACTIVE|
AFBA|Allied First Bancorp, Inc. (Maryland) Common Stock|NBB||
AFCT|AFC Building Technologies Inc. Common Stock|NBB||
AFFWD|American Housing Income Trust, Inc. Common Stock|BB|ACTIVE|
AGIN|American Graphite Technologies Inc. Common Stock|BB|ACTIVE|
AHDT|Asta Holdings Corp. Common|BB|ACTIVE|
AIDC|AI Document Services, Inc. Common Stock|NBB||
AKTS|Akoustis Technologies, Inc. Common Stock|BB|ACTIVE|
ALAD|Aladdin Intl Inc Common Stock|BB|ACTIVE|
ALMG|Alamogordo Financial Corp. Common Stock|BB|ACTIVE|
ALOD|Allied Resources, Inc. Common Stock|NBB||
AMFC|AMB Financial Corp. Common Stock|BB|ACTIVE|
AMIB|American Boarding Co. Common Stock|BB|ACTIVE|
AMRD|American Riding Tours Inc. Common Stock|NBB||
AMSE|American Sands Energy Corp. Common Stock|NBB||
ANAV|Alpha Network Alliance Ventures Inc. Com|NBB||
ANEC|American Natural Energy Corporation|NBB||
ANPL|Anpulo Food Development, Inc. NEW Common Stock|NBB||
AOIL|Armada Oil, Inc. Common Stock|NBB||
APPG|Apptigo International Inc. NEW Common Stock|BB|ACTIVE|
APPZ|Monster Arts Inc. (NEW) Common Stock|NBB||
APSI|Aqua Power Systems Inc. Common Stock|BB|ACTIVE|
APTY|APT Systems Inc. Common Stock|NBB||
APYV|At Play Vacation Common Stock|BB|ACTIVE|
ARBJ|Acroboo, Inc. Common|BB|ACTIVE|
ARENE|America Resources Exploration Inc. Common Stock|BB|ACTIVE|
ARKI|Arkadia International Common Stock|NBB||
ARSN|AUREUS INC Common Stock|BB|ACTIVE|
ARTH|Arch Therapeutics, Inc. Common Stock|BB|ACTIVE|
ARXQ|ARTEX CORP Common Stock|BB|ACTIVE|
ASCK|AUSCRETE CORP Common Stock|BB|ACTIVE|
ASKH|Astika Holdings, Inc. Com|NBB||
ASPU|Aspen Group Inc. Common Stock|BB|ACTIVE|
ASTV|As Seen On TV, Inc.  COMMON STOCK|NBB||
ASXSF|Alberta Star Development Corporation Ordinary Shares (Canada)|NBB||
ASYP|Asiya Pearls Common Stock|BB|ACTIVE|
